[METADATA]
ARTIST=We're Swan Will Sweep
33.4992 35.4992 1 0
33.7629 35.7629 2 0
34.0267 36.0267 1 0
34.2592 36.2592 2 0
34.5542 36.5542 1 0
34.7979 36.7979 0 0
35.0554 37.0554 1 0
35.3117 37.3117 2 0
35.6129 37.6129 3 0
35.8304 37.8304 2 0
36.1142 38.1142 1 0
36.3517 38.3517 0 0
36.5654 38.5654 1 0
36.8079 38.8079 2 0
37.0492 39.0492 3 0
37.2829 39.2829 2 0
37.5642 39.5642 1 0
37.7942 39.7942 2 0
37.9842 39.9842 1 0
38.2054 40.2054 2 0
38.4292 40.4292 1 0
38.6704 40.6704 2 0
38.9204 40.9204 0 0
39.3079 41.3079 1 0
39.5342 41.5342 2 0
39.8567 41.8567 3 0
40.0817 42.0817 2 0
40.3079 42.3079 1 0
40.5592 42.5592 0 0
40.8042 42.8042 1 0
41.0529 43.0529 2 0
41.3092 43.3092 3 0
41.5117 43.5117 2 0
41.7467 43.7467 1 0
41.9692 43.9692 2 0
42.2617 44.2617 0 0
42.4867 44.4867 0 0
42.7642 44.7642 2 0
43.0392 45.0392 1 0
43.3329 45.3329 2 0
43.5867 45.5867 3 0
43.7179 45.7179 2 0
43.9992 45.9992 1 0
44.2792 46.2792 0 0
44.4904 46.4904 1 0
44.8029 46.8029 2 0
45.0567 47.0567 2 0
45.2929 47.2929 2 0
45.7042 47.7042 3 0
45.9404 47.9404 2 0
46.2642 48.2642 1 0
46.6167 48.6167 2 0
46.7954 48.7954 1 0
47.0579 49.0579 2 0
47.4704 49.4704 1 0
47.7529 49.7529 2 0
47.9229 49.9229 1 0
48.4292 50.4292 2 0
48.6154 50.6154 1 0
48.8967 50.8967 2 0
49.1604 51.1604 1 0
49.4017 51.4017 2 0
49.6229 51.6229 1 0
49.9167 51.9167 2 0
50.3542 52.3542 0 0
50.5379 52.5379 1 0
50.7942 52.7942 2 0
51.0054 53.0054 1 0
51.2717 53.2717 2 0
51.4654 53.4654 1 0
51.7017 53.7017 2 0
51.9254 53.9254 1 0
52.1479 54.1479 2 0
52.2979 54.2979 1 0
52.4367 54.4367 2 0
52.7554 54.7554 1 0
53.0667 55.0667 2 0
53.2742 55.2742 1 0
53.5342 55.5342 2 0
53.9617 55.9617 0 0
54.1029 56.1029 1 0
54.3142 56.3142 0 0
54.8417 56.8417 2 0
55.0767 57.0767 3 0
55.2429 57.2429 2 0
55.8229 57.8229 1 0
56.2779 58.2779 2 0
56.7767 58.7767 1 0
57.2779 59.2779 2 0
57.6467 59.6467 1 0
57.9192 59.9192 0 0
58.1754 60.1754 1 0
58.3817 60.3817 0 0
58.6479 60.6479 1 0
58.8267 60.8267 1 0
59.0167 61.0167 1 0
59.5767 61.5767 2 0
59.8279 61.8279 3 0
60.0517 62.0517 2 0
60.3367 62.3367 3 0
60.9279 62.9279 1 0
61.2067 63.2067 2 0
61.4329 63.4329 1 0
61.6567 63.6567 0 0
61.8204 63.8204 1 0
62.2754 64.2754 0 0
62.4504 64.4504 1 0
62.6154 64.6154 0 0
62.7817 64.7817 1 0
63.1879 65.1879 0 0
63.3679 65.3679 1 0
63.7629 65.7629 2 0
63.9254 65.9254 1 0
64.2067 66.2067 2 0
64.3479 66.3479 1 0
64.6679 66.6679 2 0
64.7817 66.7817 1 0
65.1404 67.1404 2 0
65.3479 67.3479 1 0
65.6354 67.6354 2 0
65.8904 67.8904 3 0
66.0542 68.0542 2 0
66.3204 68.3204 1 0
66.5679 68.5679 0 0
66.8042 68.8042 1 0
67.0929 69.0929 2 0
67.3179 69.3179 3 0
67.6692 69.6692 1 0
67.9104 69.9104 2 0
68.1717 70.1717 1 0
68.4067 70.4067 2 0
68.5904 70.5904 1 0
68.8404 70.8404 2 0
68.9567 70.9567 1 0
69.1229 71.1229 2 0
69.6054 71.6054 0 0
69.7842 71.7842 1 0
69.9317 71.9317 0 0
70.1067 72.1067 1 0
70.3679 72.3679 0 0
70.6554 72.6554 2 0
70.9267 72.9267 2 0
71.0979 73.0979 1 0
71.3192 73.3192 2 0
71.6329 73.6329 2 0
71.8079 73.8079 0 0
72.0192 74.0192 1 0
72.3004 74.3004 2 0
72.6392 74.6392 2 0
72.8529 74.8529 1 0
73.0804 75.0804 2 0
73.3379 75.3379 3 0
73.5117 75.5117 2 0
73.7029 75.7029 2 0
82.0467 84.0467 3 0
END=69.9688
